fdcId,英文食品名,中文食品名,状态,可能需要复核的英文词
748608,"Oil, olive, extra virgin",特级初榨橄榄油,已自动校验,
748967,"Eggs, Grade A, Large, egg whole",A级大号鸡蛋，整蛋,已自动校验,
749420,"Pork, cured, bacon, cooked, restaurant",腌制猪肉培根，熟制，餐厅食品,已自动校验,
789828,"Butter, stick, unsalted",黄油，条状，无盐,已自动校验,
789890,"Flour, wheat, all-purpose, enriched, bleached",面粉，小麦，通用，强化，漂白,已自动校验,
789951,"Flour, wheat, all-purpose, enriched, unbleached",面粉，小麦，通用，强化，未漂白,已自动校验,
790018,"Flour, wheat, all-purpose, unenriched, unbleached",面粉，小麦，通用，未强化，未漂白,已自动校验,
790085,"Flour, whole wheat, unenriched",面粉，全麦，未强化,已自动校验,
790146,"Flour, bread, white, enriched, unbleached",面粉，面包，白色，强化，未漂白,已自动校验,
790214,"Flour, rice, white, unenriched",面粉，白米，未强化,已自动校验,
790276,"Flour, corn, yellow, fine meal, enriched",面粉，玉米，黄色，细粉，强化,已自动校验,
790508,"Butter, stick, salted",黄油，条状，加盐,已自动校验,
790577,"Onions, red, raw",洋葱，红色，生,已自动校验,
790646,"Onions, yellow, raw",洋葱，黄色，生,已自动校验,
1104647,"Garlic, raw",大蒜，生,已自动校验,
1104705,"Flour, soy, defatted",脱脂大豆粉,已自动校验,
1104766,"Flour, soy, full-fat",全脂大豆粉,已自动校验,
1104812,"Flour, rice, brown",面粉，糙米,已自动校验,
1104867,"Flour, rice, glutinous",糯米粉,已自动校验,
1104913,"Flour, pastry, unenriched, unbleached",面粉，糕点，未强化，未漂白,已自动校验,
1104962,"Onions, white, raw",洋葱，白色，生,已自动校验,
1105073,"Bananas, overripe, raw",香蕉，过熟，生,已自动校验,
1105314,"Bananas, ripe and slightly ripe, raw",香蕉，成熟 和 稍熟，生,已自动校验,
1750339,"Apples, red delicious, with skin, raw",苹果，红蛇果，带皮，生,已自动校验,
1750340,"Apples, fuji, with skin, raw",苹果，富士，带皮，生,已自动校验,
1750341,"Apples, gala, with skin, raw",苹果，嘎啦，带皮，生,已自动校验,
1750342,"Apples, granny smith, with skin, raw",苹果，青苹果（Granny Smith），带皮，生,已自动校验,
1750343,"Apples, honeycrisp, with skin, raw",苹果，蜜脆苹果，带皮，生,已自动校验,
1750348,"Oil, peanut",油，花生,已自动校验,
1750349,"Oil, sunflower",油，向日葵,已自动校验,
1750350,"Oil, safflower",油，红花籽,已自动校验,
1750351,"Oil, olive, extra light",特淡橄榄油,已自动校验,
1999626,"Mushroom, lion's mane",蘑菇，猴头菇,已自动校验,
1999627,"Mushroom, oyster",平菇,已自动校验,
1999628,"Mushrooms, shiitake",蘑菇，香菇,已自动校验,
1999629,"Mushrooms, white button",蘑菇，白蘑菇,已自动校验,
1999630,"Soy milk, unsweetened, plain, shelf stable",大豆 牛奶，无糖，原味，常温保存,已自动校验,
1999631,"Almond milk, unsweetened, plain, shelf stable",杏仁 牛奶，无糖，原味，常温保存,已自动校验,
1999632,"Spinach, baby",嫩菠菜,已自动校验,
1999633,"Spinach, mature",成熟菠菜,已自动校验,
1999634,"Tomato, roma",罗马番茄,已自动校验,
2003586,"Flour, 00",面粉，00,已自动校验,
2003587,"Flour, spelt, whole grain",面粉，斯佩耳特小麦，全谷物,已自动校验,
2003588,"Flour, semolina, coarse and semi-coarse",面粉，粗粒小麦粉，粗粒和中粗粒,已自动校验,
2003589,"Flour, semolina, fine",面粉，细粒粗粒小麦粉,已自动校验,
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",苹果汁，添加维生素C，浓缩还原，常温保存,已自动校验,
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",橙汁，无果肉，未强化，浓缩还原，冷藏,已自动校验,
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",葡萄汁，紫色，添加维生素C，浓缩还原，常温保存,已自动校验,
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",葡萄汁，白色，添加维生素C，浓缩还原，常温保存,已自动校验,
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",蔓越莓汁，未强化，浓缩还原，常温保存,已自动校验,
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",葡萄柚汁，红色，未强化，非浓缩还原，冷藏,已自动校验,
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",番茄汁，含 添加配料，浓缩还原，常温保存,已自动校验,
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",橙汁，无果肉，未强化，非浓缩还原，冷藏,已自动校验,
2003598,"Mushroom, portabella",蘑菇，大褐菇,已自动校验,
2003599,"Mushroom, king oyster",蘑菇，杏鲍菇,已自动校验,
2003600,"Mushroom, enoki",蘑菇，金针菇,已自动校验,
2003601,"Mushroom, crimini",蘑菇，褐蘑菇,已自动校验,
2003602,"Mushroom, maitake",蘑菇，舞茸,已自动校验,
2003603,"Mushroom, beech",真姬菇,已自动校验,
2003604,"Mushroom, pioppini",蘑菇，茶树菇,已自动校验,
2257044,"Soy milk, sweetened, plain, refrigerated",大豆 牛奶，加糖，原味，冷藏,已自动校验,
2257045,"Almond milk, unsweetened, plain, refrigerated",杏仁 牛奶，无糖，原味，冷藏,已自动校验,
2257046,"Oat milk, unsweetened, plain, refrigerated",燕麦 牛奶，无糖，原味，冷藏,已自动校验,
2258586,"Carrots, mature, raw",胡萝卜，成熟，生,已自动校验,
2258587,"Carrots, baby, raw",胡萝卜，嫩/幼小，生,已自动校验,
2258588,"Peppers, bell, green, raw",甜椒，绿色，生,已自动校验,
2258589,"Peppers, bell, yellow, raw",甜椒，黄色，生,已自动校验,
2258590,"Peppers, bell, red, raw",甜椒，红色，生,已自动校验,
2258591,"Peppers, bell, orange, raw",甜椒，橙色，生,已自动校验,
2259792,"Buttermilk, low fat",酪乳，低脂,已自动校验,
2259793,"Yogurt, plain, whole milk",酸奶，原味，全脂牛奶,已自动校验,
2259794,"Yogurt, Greek, plain, whole milk",酸奶，希腊式，原味，全脂牛奶,已自动校验,
2259795,"Cheese, parmesan, grated, refrigerated",奶酪，帕尔马干酪，磨碎，冷藏,已自动校验,
2259796,"Cheese, feta, whole milk, crumbled",奶酪，菲达奶酪，全脂牛奶，碎粒状,已自动校验,
2261420,"Flour, almond",面粉，杏仁,已自动校验,
2261421,"Flour, oat, whole grain",面粉，燕麦，全谷物,已自动校验,
2261422,"Flour, potato",面粉，马铃薯,已自动校验,
2262072,"Peanut butter, creamy",花生酱，幼滑型,已自动校验,
2262073,"Sesame butter, creamy",芝麻酱，幼滑型,已自动校验,
2262074,"Almond butter, creamy",杏仁酱，幼滑型,已自动校验,
2262075,"Flaxseed, ground",亚麻籽，绞碎,已自动校验,
2346384,"Cottage cheese, full fat, large or small curd",茅屋奶酪，全脂，大凝乳或小凝乳,已自动校验,
2346385,"Cream cheese, full fat, block",奶油奶酪，全脂，块状,已自动校验,
2346386,"Cream, heavy",淡奶油,已自动校验,
2346387,"Cream, sour, full fat",酸奶油，全脂,已自动校验,
2346388,"Lettuce, iceberg, raw",冰山生菜，生,已自动校验,
2346389,"Lettuce, romaine, green, raw",罗马生菜，绿色，生,已自动校验,
2346390,"Lettuce, leaf, red, raw",叶生菜，红色，生,已自动校验,
2346391,"Lettuce, leaf, green, raw",叶生菜，绿色，生,已自动校验,
2346392,"Nuts, pine nuts, raw",坚果，松子，生,已自动校验,
2346393,"Nuts, almonds, whole, raw",坚果，杏仁，完整，生,已自动校验,
2346394,"Nuts, walnuts, English, halves, raw",坚果，英国核桃，半粒，生,已自动校验,
2346395,"Nuts, pecans, halves, raw",坚果，碧根果，半粒，生,已自动校验,
2346396,"Oats, whole grain, rolled, old fashioned",燕麦，全谷物，压片，传统压片,已自动校验,
2346397,"Oats, whole grain, steel cut",燕麦，全谷物，钢切,已自动校验,
2346398,"Pineapple, raw",菠萝，生,已自动校验,
2346399,"Cherries, sweet, dark red, raw",樱桃，甜味，深红色，生,已自动校验,
2346400,"Beans, snap, green, raw",豆类，嫩荚，绿色，生,已自动校验,
2346401,"Potatoes, russet, without skin, raw",马铃薯，褐皮马铃薯，去皮，生,已自动校验,
2346402,"Potatoes, red, without skin, raw",马铃薯，红色，去皮，生,已自动校验,
2346403,"Potatoes, gold, without skin, raw",马铃薯，黄皮马铃薯，去皮，生,已自动校验,
2346404,"Sweet potatoes, orange flesh, without skin, raw",甘薯，橙色果肉，去皮，生,已自动校验,
2346405,"Celery, raw",芹菜，生,已自动校验,
2346406,"Cucumber, with peel, raw",黄瓜，带皮，生,已自动校验,
2346407,"Cabbage, green, raw",甘蓝，绿色，生,已自动校验,
2346408,"Cabbage, red, raw",甘蓝，红色，生,已自动校验,
2346409,"Strawberries, raw",草莓，生,已自动校验,
2346410,"Raspberries, raw",覆盆子，生,已自动校验,
2346411,"Blueberries, raw",蓝莓，生,已自动校验,
2346412,"Grapes, red, seedless, raw",葡萄，红色，无籽，生,已自动校验,
2346413,"Grapes, green, seedless, raw",葡萄，绿色，无籽，生,已自动校验,
2346414,"Applesauce, unsweetened, with added vitamin C",苹果酱，无糖，添加维生素C,已自动校验,
2512371,"Flour, amaranth",面粉，苋米,已自动校验,
2512372,"Flour, quinoa",面粉，藜麦,已自动校验,
2512373,"Flour, sorghum",面粉，高粱,已自动校验,
2512374,"Flour, buckwheat",面粉，荞麦,已自动校验,
2512375,"Flour, rye",面粉，黑麦,已自动校验,
2512376,"Flour, barley",面粉，大麦,已自动校验,
2512377,"Flour, cassava",面粉，木薯,已自动校验,
2512378,"Buckwheat, whole grain",荞麦，全谷物,已自动校验,
2512379,"Millet, whole grain",小米，全谷物,已自动校验,
2512380,"Rice, brown, long grain, unenriched, raw",糙米，长粒，未强化，生,已自动校验,
2512381,"Rice, white, long grain, unenriched, raw",白米，长粒，未强化，生,已自动校验,
2514743,"Beef, ground, 90% lean meat / 10% fat, raw",牛肉，绞碎，90% 瘦肉/10% 脂肪，生,已自动校验,
2514744,"Beef, ground, 80% lean meat / 20% fat, raw",牛肉，绞碎，80% 瘦肉/20% 脂肪，生,已自动校验,
2514745,"Pork, ground, raw",猪肉，绞碎，生,已自动校验,
2514746,"Chicken, ground, with additives, raw",鸡肉，绞碎，含添加剂，生,已自动校验,
2514747,"Turkey, ground, 93% lean/ 7% fat, raw",火鸡肉，绞碎，93% 瘦肉/7% 脂肪，生,已自动校验,
2515373,"Nuts, brazilnuts, raw",坚果，巴西坚果，生,已自动校验,
2515374,"Nuts, cashew nuts, raw",坚果，腰果，生,已自动校验,
2515375,"Nuts, hazelnuts or filberts, raw",坚果，榛子，生,已自动校验,
2515376,"Peanuts, raw",花生，生,已自动校验,
2515377,"Flour, chestnut",面粉，栗子,已自动校验,
2515378,"Nuts, macadamia nuts, raw",坚果，夏威夷果，生,已自动校验,
2515379,"Nuts, pistachio nuts, raw",坚果，开心果，生,已自动校验,
2515380,"Seeds, pumpkin seeds (pepitas), raw",种子，南瓜籽（南瓜籽仁），生,已自动校验,
2515381,"Seeds, sunflower seed, kernel, raw",种子，葵花籽，籽仁，生,已自动校验,
2515382,"Flour, coconut",面粉，椰子,已自动校验,
2644281,"Beans, cannellini, dry",豆类，白芸豆（Cannellini），干燥,已自动校验,
2644282,"Chickpeas, (garbanzo beans, bengal gram), dry",鹰嘴豆，(鹰嘴豆，孟加拉豆），干燥,已自动校验,
2644283,"Lentils, dry",小扁豆，干燥,已自动校验,
2644284,"Blackeye pea, dry",黑眼豆，干燥,已自动校验,
2644285,"Beans, black, canned, sodium added, drained and rinsed",豆类，黑色，罐装，添加钠，沥干并冲洗,已自动校验,
2644286,"Beans, navy, canned, sodium added, drained and rinsed",豆类，海军豆，罐装，添加钠，沥干并冲洗,已自动校验,
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",豆类，白芸豆（Cannellini），罐装，添加钠，沥干并冲洗,已自动校验,
2644288,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",鹰嘴豆（鹰嘴豆，孟加拉豆），罐装，添加钠，沥干并冲洗,已自动校验,
2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",豆类，芸豆，深红色，罐装，添加钠，添加糖，沥干并冲洗,已自动校验,
2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",豆类，芸豆，浅红色，罐装，添加钠，添加糖，沥干并冲洗,已自动校验,
2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",豌豆，绿色，甜味，罐装，添加钠，添加糖，沥干并冲洗,已自动校验,
2644292,"Beans, pinto, canned, sodium added, drained and rinsed",豆类，斑豆，罐装，添加钠，沥干并冲洗,已自动校验,
2644293,"Blackeye pea, canned, sodium added, drained and rinsed",黑眼豆，罐装，添加钠，沥干并冲洗,已自动校验,
2644294,"Beans, great northern, canned, sodium added, drained and rinsed",豆类，大北方豆，罐装，添加钠，沥干并冲洗,已自动校验,
2646168,"Pork, loin, boneless, raw",猪肉，腰脊，去骨，生,已自动校验,
2646169,"Pork, loin, tenderloin, boneless, raw",猪肉，腰脊，里脊，去骨，生,已自动校验,
2646170,"Chicken, breast, boneless, skinless, raw",鸡肉，胸肉，去骨去皮，生,已自动校验,
2646171,"Chicken, thigh, boneless, skinless, raw",鸡肉，大腿肉，去骨去皮，生,已自动校验,
2646172,"Beef, ribeye, steak, boneless, choice, raw",牛肉，肋眼牛排，去骨，精选级（Choice），生,已自动校验,
2646173,"Beef, round, top round, boneless, choice, raw",牛肉，后腿，上后腿肉，去骨，精选级（Choice），生,已自动校验,
2646174,"Beef, chuck, roast, boneless, choice, raw",牛肉，肩胛烤肉，去骨，精选级（Choice），生,已自动校验,
2646175,"Beef, flank, steak, boneless, choice, raw",牛肉，腹胁牛排，去骨，精选级（Choice），生,已自动校验,
2647437,"Yogurt, plain, nonfat",酸奶，原味，脱脂,已自动校验,
2647438,"Cheese, monterey jack, solid",奶酪，蒙特雷杰克奶酪，固体,已自动校验,
2647439,"Cheese, pasteurized process cheese food or product, American, singles",奶酪，巴氏杀菌再制干酪食品或制品，美式，单片装,已自动校验,
2647440,"Cheese, provolone, sliced",奶酪，普罗卧干酪，切片,已自动校验,
2647441,"Cheese, oaxaca, solid",奶酪，瓦哈卡奶酪，固体,已自动校验,
2647442,"Cheese, queso fresco, solid",奶酪，墨西哥鲜奶酪，固体,已自动校验,
2647443,"Cheese, cotija, solid",奶酪，科蒂哈奶酪，固体,已自动校验,
2684440,"Fish, salmon, sockeye, wild caught, raw",鲑鱼，红鲑，野生捕捞，生,已自动校验,
2684441,"Fish, salmon, Atlantic, farm raised, raw",鲑鱼，大西洋，养殖，生,已自动校验,
2684442,"Fish, tilapia, farm raised, raw",鱼，罗非鱼，养殖，生,已自动校验,
2684443,"Crustaceans, shrimp, farm raised, raw",甲壳类，虾，养殖，生,已自动校验,
2684444,"Fish, cod, Atlantic, wild caught, raw",鱼，鳕鱼，大西洋，野生捕捞，生,已自动校验,
2684445,"Fish, catfish, farm raised, raw",鱼，鲶鱼，养殖，生,已自动校验,
2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",甲壳类，蟹，梭子蟹，大块蟹肉，巴氏杀菌，冷藏,已自动校验,
2685568,"Squash, summer, green, zucchini, includes skin, raw",夏南瓜，绿色，西葫芦，含皮，生,已自动校验,
2685569,"Squash, summer, yellow, includes skin, raw",夏南瓜，黄色，含皮，生,已自动校验,
2685570,"Squash, winter, butternut, raw",冬南瓜，奶油南瓜，生,已自动校验,
2685571,"Squash, winter, acorn, raw",冬南瓜，橡果南瓜，生,已自动校验,
2685572,"Cabbage, bok choy, raw",甘蓝，小白菜，生,已自动校验,
2685573,"Cauliflower, raw",花椰菜，生,已自动校验,
2685574,"Collards, raw",羽衣甘蓝叶，生,已自动校验,
2685575,"Brussels sprouts, raw",抱子甘蓝，生,已自动校验,
2685576,"Beets, raw",甜菜根，生,已自动校验,
2685577,"Eggplant, raw",茄子，生,已自动校验,
2685578,"Tomatoes, whole, canned, solids and liquids, with salt added",番茄，完整，罐装，固形物及液体，加盐,已自动校验,
2685579,"Tomato, sauce, canned, with salt added",番茄，酱汁，罐装，加盐,已自动校验,
2685580,"Tomato, paste, canned, without salt added",番茄膏，罐装，未加盐,已自动校验,
2685581,"Tomatoes, crushed, canned",番茄，压碎，罐装,已自动校验,
2685582,"Tomato, puree, canned",番茄泥，罐装,已自动校验,
2710815,"Apricot, with skin, raw",杏，带皮，生,已自动校验,
2710816,"Melons, honeydew, raw",瓜类，蜜瓜，生,已自动校验,
2710817,"Plantains, ripe, raw",大蕉，成熟，生,已自动校验,
2710818,"Plantains, underripe, raw",大蕉，未完全成熟，生,已自动校验,
2710819,"Chia seeds, dry, raw",奇亚籽，干燥，生,已自动校验,
2710820,"Bulgur, dry, raw",布格麦，干燥，生,已自动校验,
2710821,"Wild rice, dry, raw",菰米，干燥，生,已自动校验,
2710822,"Arugula, baby, raw",芝麻菜，嫩/幼小，生,已自动校验,
2710823,"Asparagus, green, raw",芦笋，绿色，生,已自动校验,
2710824,"Avocado, Hass, peeled, raw",鳄梨，哈斯，去皮，生,已自动校验,
2710825,"Rice, black, unenriched, raw",大米，黑色，未强化，生,已自动校验,
2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",玉米，甜味，黄白混合玉米粒，新鲜，生,已自动校验,
2710827,"Einkorn, grain, dry, raw",一粒小麦，谷粒，干燥，生,已自动校验,
