fdcId,食品英文名,食品中文名,份量值,计量单位英文,计量单位中文,克重,修饰说明英文,修饰说明中文
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",种子，葵花籽仁，干烤，加盐,1.0,RACC,参考食用量（RACC）,30.0,,
326196,"Kale, frozen, cooked, boiled, drained, without salt",羽衣甘蓝，冷冻，熟制，水煮，沥干，不加盐,1.0,cup,杯,118.0,cooked,熟制
326196,"Kale, frozen, cooked, boiled, drained, without salt",羽衣甘蓝，冷冻，熟制，水煮，沥干，不加盐,1.0,RACC,参考食用量（RACC）,85.0,,
326698,"Mustard, prepared, yellow",芥末酱，已制备，黄色,1.0,cup,杯,249.0,,
326698,"Mustard, prepared, yellow",芥末酱，已制备，黄色,1.0,teaspoon,茶匙,6.0,,
327046,"Kiwifruit, green, raw",猕猴桃，绿色，生,1.0,RACC,参考食用量（RACC）,140.0,,
327357,"Nectarines, raw",油桃，生,1.0,each,个,129.0,"2-1/3"" dia","2-1/3"" dia"
327357,"Nectarines, raw",油桃，生,1.0,each,个,156.0,"2-3/4"" dia","2-3/4"" dia"
327357,"Nectarines, raw",油桃，生,1.0,each,个,142.0," 2-1/2"" dia","2-1/2"" dia"
327357,"Nectarines, raw",油桃，生,1.0,serving,份,140.0,NLEA,NLEA参考份量
327357,"Nectarines, raw",油桃，生,1.0,cup,杯,143.0, slices,slices
327357,"Nectarines, raw",油桃，生,1.0,RACC,参考食用量（RACC）,140.0,,
328637,"Cheese, cheddar",奶酪，切达干酪,1.0,slice,片,17.0,,
328637,"Cheese, cheddar",奶酪，切达干酪,1.0,cup,杯,105.0,,
328637,"Cheese, cheddar",奶酪，切达干酪,1.0,RACC,参考食用量（RACC）,30.0,,
328841,"Cheese, cottage, lowfat, 2% milkfat",茅屋奶酪，低脂，2% 乳脂,1.0,cup,杯,220.0,,
328841,"Cheese, cottage, lowfat, 2% milkfat",茅屋奶酪，低脂，2% 乳脂,1.0,RACC,参考食用量（RACC）,55.0,,
329490,"Egg, whole, dried",鸡蛋，整蛋，干制,1.0,cup,杯,85.0,sifted,过筛
329490,"Egg, whole, dried",鸡蛋，整蛋，干制,1.0,tablespoon,汤匙,5.0,,
329490,"Egg, whole, dried",鸡蛋，整蛋，干制,1.0,oz,盎司,28.4,,
329596,"Egg, yolk, raw, frozen, pasteurized",鸡蛋，蛋黄，生，冷冻，巴氏杀菌,1.0,oz,盎司,28.4,,
329716,"Egg, yolk, dried",鸡蛋，蛋黄，干制,1.0,tablespoon,汤匙,4.0,,
329716,"Egg, yolk, dried",鸡蛋，蛋黄，干制,1.0,cup,杯,67.0,sifted,过筛
329716,"Egg, yolk, dried",鸡蛋，蛋黄，干制,1.0,oz,盎司,28.4,,
330137,"Yogurt, Greek, plain, nonfat",酸奶，希腊式，原味，脱脂,1.0,container,容器,156.0,,
330137,"Yogurt, Greek, plain, nonfat",酸奶，希腊式，原味，脱脂,1.0,RACC,参考食用量（RACC）,170.0,,
330415,"Yogurt, Greek, strawberry, nonfat",酸奶，希腊式，草莓，脱脂,1.0,container,容器,150.0,5.3 oz,5.3盎司
330415,"Yogurt, Greek, strawberry, nonfat",酸奶，希腊式，草莓，脱脂,1.0,RACC,参考食用量（RACC）,170.0,,
330458,"Oil, coconut",油，椰子,1.0,tablespoon,汤匙,11.6,liquid oil,液态油
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",鸡肉，肉用仔鸡，鸡小腿，仅肉，熟制，炖煮,1.0,drumstick,只鸡腿棒,104.0,with skin,带皮
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",鸡肉，肉用仔鸡，鸡小腿，仅肉，熟制，炖煮,1.0,drumstick,只鸡腿棒,94.7,without skin,去皮
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",鸡肉，肉用仔鸡，鸡小腿，仅肉，熟制，炖煮,1.0,RACC,参考食用量（RACC）,114.0,,
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",鸡肉，肉用仔鸡，胸肉，去皮去骨，仅肉，熟制，炖煮,1.0,piece,块,174.0,,
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",鸡肉，肉用仔鸡，胸肉，去皮去骨，仅肉，熟制，炖煮,1.0,RACC,参考食用量（RACC）,114.0,,
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",火腿，切片，预包装，熟食肉片（96%脂肪 无，加水）,1.0,slice,片,13.5,,
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",火腿，切片，预包装，熟食肉片（96%脂肪 无，加水）,1.0,RACC,参考食用量（RACC）,85.0,,
332791,"Olives, green, Manzanilla, stuffed with pimiento",橄榄，绿色，曼萨尼亚品种，填充甜椒,1.0,olive,颗橄榄,3.2,,
332791,"Olives, green, Manzanilla, stuffed with pimiento",橄榄，绿色，曼萨尼亚品种，填充甜椒,1.0,RACC,参考食用量（RACC）,40.0,,
333008,"Cookies, oatmeal, soft, with raisins",曲奇，燕麦，软质，含葡萄干,1.0,cookie,块曲奇,27.0,,
333008,"Cookies, oatmeal, soft, with raisins",曲奇，燕麦，软质，含葡萄干,1.0,RACC,参考食用量（RACC）,30.0,,
333281,"Tomatoes, canned, red, ripe, diced",番茄，罐装，红色，成熟，切丁,1.0,cup,杯,245.0,,
333281,"Tomatoes, canned, red, ripe, diced",番茄，罐装，红色，成熟，切丁,1.0,RACC,参考食用量（RACC）,130.0,,
333374,"Fish, haddock, raw",鱼，黑线鳕，生,1.0,fillet,片鱼柳,176.0,,
333374,"Fish, haddock, raw",鱼，黑线鳕，生,1.0,RACC,参考食用量（RACC）,115.0,,
333476,"Fish, pollock, raw",鱼，狭鳕，生,1.0,fillet,片鱼柳,177.0,,
333476,"Fish, pollock, raw",鱼，狭鳕，生,1.0,RACC,参考食用量（RACC）,115.0,,
334194,"Fish, tuna, light, canned in water, drained solids",鱼，金枪鱼，浅色，水浸罐装，沥干固形物,1.0,can,罐,142.0,total can contents,整罐内容物
334194,"Fish, tuna, light, canned in water, drained solids",鱼，金枪鱼，浅色，水浸罐装，沥干固形物,1.0,can,罐,107.0,drained solids,沥干固形物
334194,"Fish, tuna, light, canned in water, drained solids",鱼，金枪鱼，浅色，水浸罐装，沥干固形物,1.0,RACC,参考食用量（RACC）,85.0,,
334536,"Restaurant, Chinese, fried rice, without meat",餐厅食品，中式，炒饭，不含 肉,1.0,cup,杯,133.0,,
334536,"Restaurant, Chinese, fried rice, without meat",餐厅食品，中式，炒饭，不含 肉,1.0,RACC,参考食用量（RACC）,85.0,,
334628,"Restaurant, Latino, tamale, pork",餐厅食品，拉丁美洲风味，玉米粽，猪肉,1.0,piece,块,142.0,,
334628,"Restaurant, Latino, tamale, pork",餐厅食品，拉丁美洲风味，玉米粽，猪肉,1.0,RACC,参考食用量（RACC）,140.0,,
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",餐厅食品，拉丁美洲风味，豆馅普普萨饼（普普萨饼，豆）,1.0,piece,块,126.0,,
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",餐厅食品，拉丁美洲风味，豆馅普普萨饼（普普萨饼，豆）,1.0,RACC,参考食用量（RACC）,140.0,,
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",牛肉，腰脊，里脊烤肉，可分离瘦肉，去骨，脂肪修整至0英寸，选择级（Select），熟制，烘烤,1.0,roast,块烤肉,462.0,cooked,熟制
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",牛肉，腰脊，里脊烤肉，可分离瘦肉，去骨，脂肪修整至0英寸，选择级（Select），熟制，烘烤,1.0,RACC,参考食用量（RACC）,114.0,,
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",牛肉，后腿，后腿眼肉烤肉，去骨，可分离瘦肉，脂肪修整至0英寸，选择级（Select），生,1.0,roast,块烤肉,690.0,raw,生
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",牛肉，后腿，后腿眼肉烤肉，去骨，可分离瘦肉，脂肪修整至0英寸，选择级（Select），生,1.0,RACC,参考食用量（RACC）,114.0,,
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",牛肉，后腿，上后腿烤肉，去骨，可分离瘦肉，脂肪修整至0英寸，选择级（Select），生,1.0,roast,块烤肉,788.0,raw,生
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",牛肉，后腿，上后腿烤肉，去骨，可分离瘦肉，脂肪修整至0英寸，选择级（Select），生,1.0,RACC,参考食用量（RACC）,114.0,,
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",牛肉，短腰脊，波特豪斯牛排，可分离瘦肉，脂肪修整至1/8英寸，选择级（Select），生,1.0,steak,块牛排,525.0,raw,生
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",牛肉，短腰脊，波特豪斯牛排，可分离瘦肉，脂肪修整至1/8英寸，选择级（Select），生,1.0,RACC,参考食用量（RACC）,114.0,,
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",牛肉，短腰脊，T骨牛排，带骨，可分离瘦肉，脂肪修整至1/8英寸，精选级（Choice），熟制，烧烤,1.0,steak,块牛排,360.0,cooked,熟制
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",牛肉，短腰脊，T骨牛排，带骨，可分离瘦肉，脂肪修整至1/8英寸，精选级（Choice），熟制，烧烤,1.0,RACC,参考食用量（RACC）,114.0,,
746764,"Carrots, frozen, unprepared",胡萝卜，冷冻，未制备,1.0,RACC,参考食用量（RACC）,85.0,,
746765,"Cheese, dry white, queso seco",奶酪，干燥 白色，墨西哥干奶酪,1.0,cup,杯,97.3,grated,磨碎
746765,"Cheese, dry white, queso seco",奶酪，干燥 白色，墨西哥干奶酪,1.0,RACC,参考食用量（RACC）,30.0,,
746766,"Cheese, ricotta, whole milk",奶酪，里科塔奶酪，全脂牛奶,0.2,cup,杯,64.6,,
746766,"Cheese, ricotta, whole milk",奶酪，里科塔奶酪，全脂牛奶,1.0,cup,杯,258.0,,
746766,"Cheese, ricotta, whole milk",奶酪，里科塔奶酪，全脂牛奶,0.5,cup,杯,129.0,,
746766,"Cheese, ricotta, whole milk",奶酪，里科塔奶酪，全脂牛奶,1.0,RACC,参考食用量（RACC）,55.0,,
746767,"Cheese, swiss",奶酪，瑞士奶酪,1.0,slice,片,21.9,regular,普通
746767,"Cheese, swiss",奶酪，瑞士奶酪,1.0,slice,片,10.9,thin,薄片
746767,"Cheese, swiss",奶酪，瑞士奶酪,1.0,RACC,参考食用量（RACC）,30.0,,
746768,"Figs, dried, uncooked",无花果，干制，未烹调,1.0,each,个,8.4,,
746768,"Figs, dried, uncooked",无花果，干制，未烹调,1.0,cup,杯,149.0,,
746768,"Figs, dried, uncooked",无花果，干制，未烹调,1.0,RACC,参考食用量（RACC）,140.0,,
746769,"Lettuce, cos or romaine, raw",生菜，长叶或罗马生菜，生,1.0,bunch,把,581.0,,
746769,"Lettuce, cos or romaine, raw",生菜，长叶或罗马生菜，生,1.0,RACC,参考食用量（RACC）,85.0,,
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,wedge,瓣,69.0,medium (1/8 of medium melon),中号（1/8 的 中号 melon）
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,wedge,瓣,102.0,large (1/8 of large melon),大号（1/8 的 大号 melon）
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,each,个,441.0,"small (about 4-1/4"" dia)","小号（about 4-1/4"" dia）"
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,each,个,814.0,"large (about 6-1/2"" dia)","大号（about 6-1/2"" dia）"
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,cup,杯,160.0,cubes,切块
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,10.0,pieces,块,138.0,balls,球状
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,cup,杯,156.0,diced,切丁
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,each,个,552.0,"medium (about 5"" dia)","中号（about 5"" dia）"
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,wedge,瓣,55.0,small (1/8 of small melon),小号（1/8 的 小号 melon）
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,1.0,RACC,参考食用量（RACC）,140.0,,
746771,"Oranges, raw, navels",橙子，生，脐橙,1.0,cup,杯,165.0,sections no membranes,去膜分瓣
746771,"Oranges, raw, navels",橙子，生，脐橙,1.0,each,个,140.0," 2-7/8"" dia","2-7/8"" dia"
746771,"Oranges, raw, navels",橙子，生，脐橙,1.0,RACC,参考食用量（RACC）,140.0,,
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",牛奶，低脂，液态，1% 乳脂，添加维生素A和维生素D,1.0,cup,杯,246.0,,
746773,"Pears, raw, bartlett",梨，生，巴特利特,1.0,cup,杯,140.0,slices,切片
746773,"Pears, raw, bartlett",梨，生，巴特利特,1.0,each,个,178.0,medium,中号
746773,"Pears, raw, bartlett",梨，生，巴特利特,1.0,each,个,230.0,large,大号
746773,"Pears, raw, bartlett",梨，生，巴特利特,1.0,each,个,148.0,small,小号
746773,"Pears, raw, bartlett",梨，生，巴特利特,1.0,RACC,参考食用量（RACC）,140.0,,
746774,"Restaurant, Chinese, sweet and sour pork",餐厅食品，中式，咕咾肉,1.0,order,份,611.0,,
746774,"Restaurant, Chinese, sweet and sour pork",餐厅食品，中式，咕咾肉,3.0,pieces,块,41.8,,
746774,"Restaurant, Chinese, sweet and sour pork",餐厅食品，中式，咕咾肉,1.0,RACC,参考食用量（RACC）,195.0,,
746775,"Salt, table, iodized",食盐，加碘,1.0,teaspoon,茶匙,6.1,,
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",牛奶，脱脂，液态，添加维生素A和维生素D（无脂或脱脂）,1.0,cup,杯,246.0,,
746777,"Sauce, salsa, ready-to-serve",酱汁，莎莎酱，即食,2.0,tablespoon,汤匙,35.7,,
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",牛奶，减脂，液态，2% 乳脂，添加维生素A和维生素D,1.0,cup,杯,245.0,,
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",香肠，早餐香肠，牛肉，预熟，未制备,1.0,link,根香肠,18.6,,
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",香肠，早餐香肠，牛肉，预熟，未制备,1.0,RACC,参考食用量（RACC）,110.0,,
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",香肠，意大利式，猪肉，温和风味，熟制，平底锅煎制,1.0,link,根香肠,86.6,medium,中号
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",香肠，意大利式，猪肉，温和风味，熟制，平底锅煎制,1.0,RACC,参考食用量（RACC）,85.0,,
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",香肠，猪肉，西班牙辣香肠，肠衣香肠 或 绞碎，熟制，平底锅煎制,1.0,link,根香肠,186.0,long,长形
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",香肠，猪肉，西班牙辣香肠，肠衣香肠 或 绞碎，熟制，平底锅煎制,1.0,cup,杯,185.0,ground,磨碎/绞碎
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",香肠，猪肉，西班牙辣香肠，肠衣香肠 或 绞碎，熟制，平底锅煎制,1.0,link,根香肠,80.4,medium,中号
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",香肠，猪肉，西班牙辣香肠，肠衣香肠 或 绞碎，熟制，平底锅煎制,1.0,RACC,参考食用量（RACC）,85.0,,
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",牛奶，完整，3.25% 乳脂，添加维生素D,1.0,cup,杯,249.0,,
746783,"Sausage, turkey, breakfast links, mild, raw",香肠，火鸡肉，早餐 小香肠，温和风味，生,1.0,package,包,450.0,,
746783,"Sausage, turkey, breakfast links, mild, raw",香肠，火鸡肉，早餐 小香肠，温和风味，生,1.0,link,根香肠,27.9,,
746783,"Sausage, turkey, breakfast links, mild, raw",香肠，火鸡肉，早餐 小香肠，温和风味，生,1.0,RACC,参考食用量（RACC）,110.0,,
746784,"Sugars, granulated",白砂糖,1.0,teaspoon,茶匙,4.0,,
746784,"Sugars, granulated",白砂糖,1.0,cup,杯,188.0,,
746784,"Sugars, granulated",白砂糖,1.0,RACC,参考食用量（RACC）,8.0,,
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",火鸡肉，绞碎，93% 瘦肉，7% 脂肪，平底锅烤制碎肉,1.0,paired cooked w,配对熟制重量,155.0,crumbles,碎粒
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",火鸡肉，绞碎，93% 瘦肉，7% 脂肪，平底锅烤制碎肉,1.0,RACC,参考食用量（RACC）,114.0,,
746952,"Ham, sliced, restaurant",火腿，切片，餐厅食品,1.0,slice,片,16.2,,
746952,"Ham, sliced, restaurant",火腿，切片，餐厅食品,1.0,RACC,参考食用量（RACC）,85.0,,
747447,"Broccoli, raw",西兰花，生,1.0,cup,杯,76.0,chopped,切碎
747447,"Broccoli, raw",西兰花，生,1.0,RACC,参考食用量（RACC）,85.0,,
747997,"Eggs, Grade A, Large, egg white",A级大号鸡蛋，蛋清,1.0,egg,个鸡蛋,34.0,white,白色
747997,"Eggs, Grade A, Large, egg white",A级大号鸡蛋，蛋清,1.0,RACC,参考食用量（RACC）,50.0,,
748236,"Eggs, Grade A, Large, egg yolk",A级大号鸡蛋，蛋黄,1.0,egg,个鸡蛋,17.0,yolk,蛋黄
748278,"Oil, canola",油，菜籽,100.0,milliliter,毫升,90.9,,
748323,"Oil, corn",油，玉米,100.0,milliliter,毫升,91.3,,
748366,"Oil, soybean",油，大豆,100.0,milliliter,毫升,91.3,,
748608,"Oil, olive, extra virgin",特级初榨橄榄油,100.0,milliliter,毫升,90.7,,
748967,"Eggs, Grade A, Large, egg whole",A级大号鸡蛋，整蛋,1.0,egg,个鸡蛋,50.3,whole without shell,去壳整粒
748967,"Eggs, Grade A, Large, egg whole",A级大号鸡蛋，整蛋,1.0,RACC,参考食用量（RACC）,50.0,,
789890,"Flour, wheat, all-purpose, enriched, bleached",面粉，小麦，通用，强化，漂白,1.0,RACC,参考食用量（RACC）,30.0,,
789951,"Flour, wheat, all-purpose, enriched, unbleached",面粉，小麦，通用，强化，未漂白,1.0,RACC,参考食用量（RACC）,30.0,,
790018,"Flour, wheat, all-purpose, unenriched, unbleached",面粉，小麦，通用，未强化，未漂白,1.0,RACC,参考食用量（RACC）,30.0,,
790085,"Flour, whole wheat, unenriched",面粉，全麦，未强化,1.0,RACC,参考食用量（RACC）,30.0,,
790146,"Flour, bread, white, enriched, unbleached",面粉，面包，白色，强化，未漂白,1.0,RACC,参考食用量（RACC）,30.0,,
790214,"Flour, rice, white, unenriched",面粉，白米，未强化,1.0,RACC,参考食用量（RACC）,30.0,,
790276,"Flour, corn, yellow, fine meal, enriched",面粉，玉米，黄色，细粉，强化,1.0,RACC,参考食用量（RACC）,30.0,,
790577,"Onions, red, raw",洋葱，红色，生,1.0,Onion,个洋葱,197.0,Edible,可食部分
790577,"Onions, red, raw",洋葱，红色，生,1.0,RACC,参考食用量（RACC）,85.0,,
790646,"Onions, yellow, raw",洋葱，黄色，生,1.0,Onion,个洋葱,143.0,Edible,可食部分
790646,"Onions, yellow, raw",洋葱，黄色，生,1.0,RACC,参考食用量（RACC）,85.0,,
1104647,"Garlic, raw",大蒜，生,1.0,RACC,参考食用量（RACC）,85.0,,
1104705,"Flour, soy, defatted",脱脂大豆粉,1.0,RACC,参考食用量（RACC）,30.0,,
1104766,"Flour, soy, full-fat",全脂大豆粉,1.0,RACC,参考食用量（RACC）,30.0,,
1104812,"Flour, rice, brown",面粉，糙米,1.0,RACC,参考食用量（RACC）,30.0,,
1104867,"Flour, rice, glutinous",糯米粉,1.0,RACC,参考食用量（RACC）,30.0,,
1104913,"Flour, pastry, unenriched, unbleached",面粉，糕点，未强化，未漂白,1.0,RACC,参考食用量（RACC）,30.0,,
1104962,"Onions, white, raw",洋葱，白色，生,1.0,RACC,参考食用量（RACC）,85.0,,
1105073,"Bananas, overripe, raw",香蕉，过熟，生,1.0,Banana,根香蕉,110.0,Peeled,去皮
1105073,"Bananas, overripe, raw",香蕉，过熟，生,1.0,RACC,参考食用量（RACC）,140.0,,
1105314,"Bananas, ripe and slightly ripe, raw",香蕉，成熟 和 稍熟，生,1.0,Banana,根香蕉,115.0,Peeled,去皮
1105314,"Bananas, ripe and slightly ripe, raw",香蕉，成熟 和 稍熟，生,1.0,RACC,参考食用量（RACC）,140.0,,
1750339,"Apples, red delicious, with skin, raw",苹果，红蛇果，带皮，生,1.0,RACC,参考食用量（RACC）,140.0,,
1750340,"Apples, fuji, with skin, raw",苹果，富士，带皮，生,1.0,RACC,参考食用量（RACC）,140.0,,
1750341,"Apples, gala, with skin, raw",苹果，嘎啦，带皮，生,1.0,RACC,参考食用量（RACC）,140.0,,
1750342,"Apples, granny smith, with skin, raw",苹果，青苹果（Granny Smith），带皮，生,1.0,RACC,参考食用量（RACC）,140.0,,
1750343,"Apples, honeycrisp, with skin, raw",苹果，蜜脆苹果，带皮，生,1.0,RACC,参考食用量（RACC）,140.0,,
1999626,"Mushroom, lion's mane",蘑菇，猴头菇,1.0,RACC,参考食用量（RACC）,85.0,,
1999627,"Mushroom, oyster",平菇,1.0,RACC,参考食用量（RACC）,85.0,,
1999628,"Mushrooms, shiitake",蘑菇，香菇,1.0,RACC,参考食用量（RACC）,85.0,,
1999629,"Mushrooms, white button",蘑菇，白蘑菇,1.0,RACC,参考食用量（RACC）,85.0,,
1999632,"Spinach, baby",嫩菠菜,1.0,RACC,参考食用量（RACC）,85.0,,
1999633,"Spinach, mature",成熟菠菜,1.0,RACC,参考食用量（RACC）,85.0,,
1999634,"Tomato, roma",罗马番茄,1.0,RACC,参考食用量（RACC）,85.0,,
2003586,"Flour, 00",面粉，00,1.0,RACC,参考食用量（RACC）,30.0,,
2003587,"Flour, spelt, whole grain",面粉，斯佩耳特小麦，全谷物,1.0,RACC,参考食用量（RACC）,30.0,,
2003588,"Flour, semolina, coarse and semi-coarse",面粉，粗粒小麦粉，粗粒和中粗粒,1.0,RACC,参考食用量（RACC）,30.0,,
2003589,"Flour, semolina, fine",面粉，细粒粗粒小麦粉,1.0,RACC,参考食用量（RACC）,30.0,,
2003598,"Mushroom, portabella",蘑菇，大褐菇,1.0,RACC,参考食用量（RACC）,85.0,,
2003599,"Mushroom, king oyster",蘑菇，杏鲍菇,1.0,RACC,参考食用量（RACC）,85.0,,
2003600,"Mushroom, enoki",蘑菇，金针菇,1.0,RACC,参考食用量（RACC）,85.0,,
2003601,"Mushroom, crimini",蘑菇，褐蘑菇,1.0,RACC,参考食用量（RACC）,85.0,,
2003602,"Mushroom, maitake",蘑菇，舞茸,1.0,RACC,参考食用量（RACC）,85.0,,
2003603,"Mushroom, beech",真姬菇,1.0,RACC,参考食用量（RACC）,85.0,,
2003604,"Mushroom, pioppini",蘑菇，茶树菇,1.0,RACC,参考食用量（RACC）,85.0,,
